"","Code","GeoFips","GeoName","TimePeriod","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"52","CAGDP1-1","10420","Akron, OH (Metropolitan Statistical Area)","2012","Thousands of chained 2012 dollars","3",30947890,NA
"53","CAGDP1-1","10420","Akron, OH (Metropolitan Statistical Area)","2013","Thousands of chained 2012 dollars","3",31395241,NA
"54","CAGDP1-1","10420","Akron, OH (Metropolitan Statistical Area)","2014","Thousands of chained 2012 dollars","3",32017695,NA
"55","CAGDP1-1","10420","Akron, OH (Metropolitan Statistical Area)","2015","Thousands of chained 2012 dollars","3",32174517,NA
"56","CAGDP1-1","10420","Akron, OH (Metropolitan Statistical Area)","2016","Thousands of chained 2012 dollars","3",32246910,NA
"57","CAGDP1-1","10420","Akron, OH (Metropolitan Statistical Area)","2017","Thousands of chained 2012 dollars","3",32639493,NA
"58","CAGDP1-1","10420","Akron, OH (Metropolitan Statistical Area)","2018","Thousands of chained 2012 dollars","3",33276924,NA
"59","CAGDP1-1","10420","Akron, OH (Metropolitan Statistical Area)","2019","Thousands of chained 2012 dollars","3",33714017,NA
"60","CAGDP1-1","10420","Akron, OH (Metropolitan Statistical Area)","2020","Thousands of chained 2012 dollars","3",31886412,NA
"61","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2001","Thousands of chained 2012 dollars","3",5500407,NA
"62","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2002","Thousands of chained 2012 dollars","3",5563164,NA
"63","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2003","Thousands of chained 2012 dollars","3",5592672,NA
"64","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2004","Thousands of chained 2012 dollars","3",5616384,NA
"65","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2005","Thousands of chained 2012 dollars","3",5731306,NA
"66","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2006","Thousands of chained 2012 dollars","3",5579562,NA
"67","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2007","Thousands of chained 2012 dollars","3",5425194,NA
"68","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2008","Thousands of chained 2012 dollars","3",5325589,NA
"69","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2009","Thousands of chained 2012 dollars","3",5239598,NA
"70","CAGDP1-1","10500","Albany, GA (Metropolitan Statistical Area)","2010","Thousands of chained 2012 dollars","3",5079304,NA
